Drug,Phenotype,Disease,drug_relation,drug_display_relation,phenotype_relation,phenotype_display_relation
imiquimod,abnormality of metabolism/homeostasis,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,autosomal recessive inheritance,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,verrucae,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,hypopigmented skin patches,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,recurrent skin infections,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,abnormality of the immune system,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,squamous cell carcinoma,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,multiple cafe-au-lait spots,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,telangiectasia of the skin,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,papule,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,skin plaque,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
imiquimod,pustule,epidermodysplasia verruciformis,indication,indication,disease_phenotype_positive,phenotype present
pimecrolimus,abnormality of metabolism/homeostasis,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,autosomal recessive inheritance,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,verrucae,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,hypopigmented skin patches,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,recurrent skin infections,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,abnormality of the immune system,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,squamous cell carcinoma,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,multiple cafe-au-lait spots,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,telangiectasia of the skin,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,papule,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,skin plaque,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
pimecrolimus,pustule,epidermodysplasia verruciformis,contraindication,contraindication,disease_phenotype_positive,phenotype present
vinblastine,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vinblastine,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vinblastine,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vinblastine,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vinblastine,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
methylprednisolone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methylprednisolone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methylprednisolone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methylprednisolone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methylprednisolone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
uracil mustard,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
uracil mustard,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
uracil mustard,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
uracil mustard,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
uracil mustard,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
methotrexate,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methotrexate,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methotrexate,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methotrexate,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
methotrexate,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
vincristine,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vincristine,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vincristine,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vincristine,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
vincristine,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisone,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisone,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisone,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisone,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
prednisone,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
thiotepa,pulmonary lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
thiotepa,hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
thiotepa,non-hodgkin lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
thiotepa,gastric lymphoma,lymphoma,indication,indication,phenotype_phenotype,parent-child
thiotepa,hematological neoplasm,lymphoma,indication,indication,phenotype_phenotype,parent-child
